ID;Active (0/1);Name*;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;Rewritten URL;Image URL;ID / Name of shop
100;1;Lampy wewnętrzne;Home;0;;;;;lampy-wewnetrzne;;
101;1;Lampy sufitowe | plafony;Lampy wewnętrzne;0;;;;;lampy-sufitowe-plafony;;
102;1;Lampy wiszące | żyrandole;Lampy wewnętrzne;0;;;;;lampy-wiszace-zyrandole;;
103;1;Lampy ścienne | kinkiety;Lampy wewnętrzne;0;;;;;lampy-scienne-kinkiety;;
104;1;Lampki stołowe | biurkowe;Lampy wewnętrzne;0;;;;;lampki-stoowe-biurkowe;;
105;1;Lampy stojące podłogowe;Lampy wewnętrzne;0;;;;;lampy-stojace-podogowe;;
106;1;Lampy dla dzieci;Lampy wewnętrzne;0;;;;;lampy-dla-dzieci;;
107;1;Lampy nad obraz do galerii;Lampy wewnętrzne;0;;;;;lampy-nad-obraz-do-galerii;;
108;1;Lampy LED i oświetlenie ledowe;Lampy wewnętrzne;0;;;;;lampy-led-i-oswietlenie-ledowe;;
109;1;Lampy techniczne;Lampy wewnętrzne;0;;;;;lampy-techniczne;;
110;1;Oświetlenie podtynkowe i oprawy LED;Lampy wewnętrzne;0;;;;;oswietlenie-podtynkowe-i-oprawy-led;;
111;1;Projektory | reflektory;Lampy wewnętrzne;0;;;;;projektory-reflektory;;
112;1;Spoty | downlighty;Lampy wewnętrzne;0;;;;;spoty-downlighty;;
113;1;Oczka halogenowe | punktowe;Lampy wewnętrzne;0;;;;;oczka-halogenowe-punktowe;;
114;1;Oświetlenie szynowe i szynoprzewody;Lampy wewnętrzne;0;;;;;oswietlenie-szynowe-i-szynoprzewody;;
115;1;Oprawy schodowe i oświetlenie schodów;Lampy wewnętrzne;0;;;;;oprawy-schodowe-i-oswietlenie-schodow;;
116;1;Akcesoria do oświetlenia wewnętrznego;Lampy wewnętrzne;0;;;;;akcesoria-do-oswietlenia-wewnetrznego;;
117;1;Abażury | podstawy do lamp;Lampy wewnętrzne;0;;;;;abazury-podstawy-do-lamp;;
136;1;Żarówki;Home;0;;;;;zarowki;;
119;1;Lampy zewnętrzne;Home;0;;;;;lampy-zewnetrzne;;
120;1;Lampy zewnętrzne sufitowe;Lampy zewnętrzne;0;;;;;lampy-zewnetrzne-sufitowe;;
121;1;Lampy zewnętrzne wiszące;Lampy zewnętrzne;0;;;;;lampy-zewnetrzne-wiszace;;
122;1;Kinkiety ścienne i oświetlenie elewacyjne;Lampy zewnętrzne;0;;;;;kinkiety-scienne-i-oswietlenie-elewacyjne;;
123;1;Lampy stojące ogrodowe i słupki ogrodowe;Lampy zewnętrzne;0;;;;;lampy-stojace-ogrodowe-i-supki-ogrodowe;;
124;1;Latarnie ogrodowe i dekoracyjne lampy masztowe;Lampy zewnętrzne;0;;;;;latarnie-ogrodowe-i-dekoracyjne-lampy-masztowe;;
125;1;Lampy do zabudowy | wpusty;Lampy zewnętrzne;0;;;;;lampy-do-zabudowy-wpusty;;
126;1;Lampy schodowe | podprogowe;Lampy zewnętrzne;0;;;;;lampy-schodowe-podprogowe;;
127;1;Lampy gruntowe | najazdowe;Lampy zewnętrzne;0;;;;;lampy-gruntowe-najazdowe;;
128;1;Lampy z czujnikiem | sensorem;Lampy zewnętrzne;0;;;;;lampy-z-czujnikiem-sensorem;;
129;1;Lampy kierunkowe | reflektorki;Lampy zewnętrzne;0;;;;;lampy-kierunkowe-reflektorki;;
130;1;Naświetlacze | halopaki;Lampy zewnętrzne;0;;;;;naswietlacze-halopaki;;
131;1;Spotlighty | downlighty;Lampy zewnętrzne;0;;;;;spotlighty-downlighty;;
132;1;Lampy zewnętrzne LED;Lampy zewnętrzne;0;;;;;lampy-zewnetrzne-led;;
133;1;Lampy zewnętrzne dekoracyjne;Lampy zewnętrzne;0;;;;;lampy-zewnetrzne-dekoracyjne;;
134;1;Akcesoria do oświetlenia;Lampy zewnętrzne;0;;;;;akcesoria-do-oswietlenia;;
137;1;Pomieszczenia;Home;0;;;;;pomieszczenia;;
138;1;Lampy do salonu;Pomieszczenia;0;;;;;lampy-do-salonu;;
139;1;Lampy do kuchni;Pomieszczenia;0;;;;;lampy-do-kuchni;;
140;1;Oświetlenie i lampy do jadalni;Pomieszczenia;0;;;;;oswietlenie-i-lampy-do-jadalni;;
141;1;Lampy do sypialni - wiszące sufitowe;Pomieszczenia;0;;;;;lampy-do-sypialni-wiszace-sufitowe;;
142;1;Lampy do pokoju dziecięcego;Pomieszczenia;0;;;;;lampy-do-pokoju-dzieciecego;;
143;1;Lampy do biura oświetlenie gabinetowe;Pomieszczenia;0;;;;;lampy-do-biura-oswietlenie-gabinetowe;;
144;1;Lampy do łazienki i nad lustro;Pomieszczenia;0;;;;;lampy-do-azienki-i-nad-lustro;;
145;1;Oświetlenie holu | przedpokoju;Pomieszczenia;0;;;;;oswietlenie-holu-przedpokoju;;
146;1;Oświetlenie przemysłowe i komercyjne;Pomieszczenia;0;;;;;oswietlenie-przemysowe-i-komercyjne;;
147;1;Oświetlenie ogrodowe | wokół domu;Pomieszczenia;0;;;;;oswietlenie-ogrodowe-woko-domu;;
148;1;Oświetlenie schodów wewnętrznych;Pomieszczenia;0;;;;;oswietlenie-schodow-wewnetrznych;;
149;1;Oświetlenie podszafkowe;Pomieszczenia;0;;;;;oswietlenie-podszafkowe;;
150;1;Oświetlenie garderoby;Pomieszczenia;0;;;;;oswietlenie-garderoby;;
